"EXERCISE_ID","EXERCISE_NAME","MET","EXERCISE_PICTURE"
1001,바벨 스쿼트,6.00,NULL
1002,다트,2.50,NULL
1003,야구 캐치볼,2.50,NULL
1004,당구,2.50,NULL
1005,요가,2.50,NULL
1006,하타 요가,2.50,NULL
1007,파워요가,4.00,NULL
1008,수리야 나마스까 요가,3.30,NULL
1009,나디소다나 요가,2.00,NULL
1010,스트레칭(가볍게),2.50,NULL
1011,낚시,3.00,NULL
1012,대청소,3.00,NULL
1013,세차,3.00,NULL
1014,볼링,3.00,NULL
1015,유연체조,3.50,NULL
1016,타이치,4.00,NULL
1017,수중 에어로빅,4.00,NULL
1018,팔굽혀펴기(격렬하게),8.00,NULL
1019,푸쉬업(가볍게),3.00,NULL
1020,푸쉬업(격렬하게),8.00,NULL
1021,런지(보통으로),3.80,NULL
1022,레그 레이즈,5.00,NULL
1023,와일드 런지,5.50,NULL
1024,윗몸일으키기(가볍게),2.80,NULL
1025,윗몸일으키기(격렬하게),8.00,NULL
1026,크런치(가볍게),3.00,NULL
1027,크런치(격렬하게),8.00,NULL
1028,스쿼트,5.50,NULL
1029,탁구랠리,4.00,NULL
1030,태극권,4.00,NULL
1031,아쿠아로빅,4.00,NULL
1032,골프,4.80,NULL
1033,라인댄스,7.80,NULL
1034,싸이클론,7.00,NULL
1035,사이클론,7.00,NULL
1036,체스트 프레스,5.00,NULL
1037,제자리뛰기,5.50,NULL
1038,트랙걷기,4.50,NULL
1039,운동장 걷기,4.50,NULL
1040,배드민턴 랠리,4.50,NULL
1041,걷기,4.50,NULL
1042,농구슈팅 연습,4.50,NULL
1043,재즈댄스,4.80,NULL
1044,트위스트 댄스,4.80,NULL
1045,헬스(격렬하게),7.80,NULL
1046,테니스 복식경기,5.00,NULL
1047,레프팅,5.00,NULL
1048,에어로빅(저강도),5.00,NULL
1049,에어로빅(중강도),6.50,NULL
1050,에어로빅(고강도),7.30,NULL
1051,댄스(가볍게),4.50,NULL
1052,살사댄스,4.50,NULL
1053,플라멩고,4.50,NULL
1054,포크댄스,7.80,NULL
1055,다이어트 댄스,4.50,NULL
1056,싸이클,7.00,NULL
1057,볼륨댄스,5.50,NULL
1058,스포츠댄스,5.50,NULL
1059,댄스스포츠,5.50,NULL
1060,탱고,5.50,NULL
1061,테니스 단식경기,7.00,NULL
1062,스케이팅,7.00,NULL
1063,달리기/걷기,6.00,NULL
1064,재즈사이즈,6.00,NULL
1065,런닝머신(달리기),9.00,NULL
1066,웨이트운동(보통으로) - 전신,5.00,NULL
1067,웨이트운동(가볍게) - 전신,3.50,NULL
1068,저항성운동(가볍게) - 전신,3.50,NULL
1069,보디빌딩(격렬하게),6.00,NULL
1070,보디빌딩(가볍게),3.50,NULL
1071,레그 프레스,5.00,NULL
1072,아령들기,5.50,NULL
1073,훌라후프,5.50,NULL
1074,캠핑,2.50,NULL
1075,케틀벨,5.50,NULL
1076,스텝박스,5.50,NULL
1077,계단내려가기,3.00,NULL
1078,계단오르기,8.00,NULL
1079,스크린골프,4.00,NULL
1080,턱걸이(보통으로),5.00,NULL
1081,풀업(가볍게) - 상지(어깨),2.80,NULL
1082,풀업(보통으로) - 상지(어깨),3.80,NULL
1083,로프운동,6.00,NULL
1084,스키,6.00,NULL
1085,스키(가볍게),5.00,NULL
1086,스키머신(보통으로),6.80,NULL
1087,하이킹,6.00,NULL
1088,산책,4.00,NULL
1089,산행,4.00,NULL
1090,풋살,8.00,NULL
1091,족구,5.50,NULL
1092,에어로빅,6.00,NULL
1093,수상스키,6.00,NULL
1094,야구피칭,6.00,NULL
1095,수영(자유영),6.10,NULL
1096,자유수영,6.00,NULL
1097,빠르게 걷기,6.00,NULL
1098,모래주머니 차고 걷기,6.80,NULL
1099,속보,6.00,NULL
1100,권투펀칭,6.00,NULL
1101,댄스(고강도),7.00,NULL
1102,등산,7.00,NULL
1103,달리기,7.00,NULL
1104,고정식자전거타기(30~50 Watts),3.50,NULL
1105,고정식자전거타기(90~100 Watts),6.80,NULL
1106,고정식자전거타기(161~200 Watts),11.00,NULL
1107,고정식자전거타기(약하게),5.50,NULL
1108,자전거타기,7.00,NULL
1109,실내자전거타기(약하게),5.50,NULL
1110,축구연습,7.00,NULL
1111,조깅,7.00,NULL
1112,런닝,7.00,NULL
1113,스피닝,9.00,NULL
1114,서키트 트레이닝(격렬하게),8.00,NULL
1115,수영(배영),8.00,NULL
1116,배구시합,8.00,NULL
1117,아이스하키,8.00,NULL
1118,농구시합,8.00,NULL
1119,줄넘기(빠르게),9.00,NULL
1120,축구시합,10.00,NULL
1121,라켓볼 시합,10.00,NULL
1122,하프마라톤,9.00,NULL
1123,킥복싱,10.00,NULL
1124,암벽등반,11.00,NULL
1125,수영(접영),11.00,NULL
1126,산악자전거(격렬하게),14.00,NULL
1127,BMX 자전거타기,8.50,NULL
1128,"캠프 단체훈련(예, 해병대 캠프 등)",5.00,NULL
1129,파워워킹,6.00,NULL
1130,모던댄스,4.80,NULL
1131,트래킹,5.00,NULL
1132,뛰기,7.00,NULL
1133,고정식자전거타기(보통으로),7.00,NULL
1134,고정식자전거타기(51~89 Watts),4.80,NULL
1135,고정식자전거타기(101~160 Watts),8.80,NULL
1136,고정식자전거타기(201~270 Watts),14.00,NULL
1137,실내자전거타기,7.00,NULL
1138,라켓볼연습,7.00,NULL
1139,축구 프리킥 차기,7.00,NULL
1140,비치발리볼,8.00,NULL
1141,맨손 줄넘기,7.00,NULL
1142,줄넘기(천천히),8.00,NULL
1143,산악자전거(보통으로),8.50,NULL
1144,프리스비 얼티메이트,8.00,NULL
1145,마라톤,9.00,NULL
1146,태권도,10.00,NULL
1147,스쿼시,12.00,NULL
1148,산악자전거 시합,16.00,NULL
1149,"건강증진 비디오 게임 격렬하게(예, 위피트 등)",7.20,NULL
1150,커브스 30분 여성 순환운동,3.50,NULL
1151,팔굽혀펴기(가볍게),3.00,NULL
1152,팔굽혀펴기(보통으로),5.00,NULL
1153,푸쉬업(보통으로),5.00,NULL
1154,니킥,5.50,NULL
1155,런지(격렬하게),8.00,NULL
1156,사이드 런지,5.50,NULL
1157,윗몸일으키기(보통으로),3.80,NULL
1158,복근운동(가볍게),2.80,NULL
1159,복근운동(격렬하게),8.00,NULL
1160,크런치(보통으로),5.00,NULL
1161,점프 스쿼트,6.00,NULL
1162,코어운동,4.50,NULL
1163,렛풀다운,5.00,NULL
