FOOD_CODE,FOOD_NAME,ENERGY
D000006,꿩불고기,368.8
D000007,닭갈비,595.61
D000008,닭갈비,558.47
D000009,닭꼬치,176.72
D000010,더덕구이,184
D000012,돼지갈비,240.32
D000016,불고기,395.29
D000017,붕장어소금구이,296.54
D000020,소양념갈비구이,989.15
D000021,양념왕갈비,480.81
D000022,양념장어구이,433.35
D000023,임연수구이,494
D000025,햄버그스테이크,457.7
D000026,황태구이,437.57
D000027,훈제오리,797.14
D000028,게국지,415.25
D000029,곰치국,419.29
D000030,굴국밥,683
D000032,김치국,89
D000036,떡만둣국,624.92
D000037,만둣국,434.05
D000038,맑은감자국,221
D000039,매생이국,119
D000040,무된장국,104
D000041,미소된장국,38
D000044,바지락조개국,157
D000046,뼈다귀해장국,714
D000047,선지해장국,312
D000049,소고기무국,123
D000054,시래기된장국,99
D000060,올갱이국,144.26
D000062,우거지해장국,154.38
D000063,우렁된장국,245
D000066,홍합미역국,167
D000067,황태해장국,181.7
D000068,고추잡채,256.77
D000070,난자완스,346.25
D000071,도토리묵말이,462.39
D000072,라조기,398.99
D000074,물회,529.36
D000075,생선물회,577.97
D000076,소고기샤브샤브,263.75
D000079,오징어순대,466.86
D000081,초당순두부,522.69
D000085,해파리냉채,91
D000087,고들빼기,55.53
D000097,열무얼갈이김치,17.68
D000105,미나리나물,29.53
D000109,취나물,74.1
D000112,경단(깨),319.47
D000113,경단(콩),314.32
D000114,기피편,219.97
D000116,녹두시루떡,246.07
D000117,메밀전병,167.83
D000119,무지개떡,228.97
D000121,송편(깨),224.15
D000122,송편(콩),194.33
D000123,수수부꾸미,247.89
D000124,수수팥떡,204.24
D000125,시루떡,217.48
D000126,쑥떡,248.63
D000129,절편,192.89
D000131,찹쌀떡,276.87
D000136,간자장,824.54
D000137,굴짬뽕,680.67
D000138,기스면,606.93
D000139,김치라면,552
D000140,김치우동,500.18
D000141,냉김치말이국수,302.53
D000142,닭칼국수,663
D000143,둘깨칼국수,457.88
D000147,막국수,571.59
D000152,삼선우동,691.66
D000153,삼선자장면,803.9
D000154,삼선짬뽕,662.37
D000156,쌀국수,320.32
D000157,열무김치국수,431
D000158,열무냉면,525.49
D000159,오일소스스파게티,646.74
D000160,올갱이국수,566
D000161,우동(일식),421.51
D000162,우동(중식),648.47
D000163,울면,728.86
D000164,자장면,796.5
D000167,짬뽕라면,689
D000169,치즈라면,595
D000171,크림소스스파게티,837.57
D000172,토마토소스스파게티,642.58
D000173,해물칼국수,628.26
D000174,해물크림소스스파게티,917.57
D000175,해물토마토소스스파게티,584.44
D000178,골뱅이무침,108.79
D000180,노각무침,84
D000181,단무지무침,20
D000182,달래나물무침,136
D000183,더덕무침,216
D000185,도토리묵,45.6
D000190,밴댕이무침,600.01
D000194,서대회무침,315.21
D000195,쑥갓나물무침,96
D000200,쥐치채,55.92
D000201,청포묵무침,149
D000202,탕평채,97.5
D000205,홍어무침,198.94
D000206,고추장불고기 삼각김밥,165.29
D000207,곤드레나물밥,521.83
D000208,국밥,418.35
D000212,농어초밥,396.74
D000213,돼지국밥,911.4
D000214,류산슬덮밥,574.99
D000215,멍게비빔밥,547.21
D000216,멸치주먹밥,312
D000217,묵밥,642.16
D000218,문어초밥,392.23
D000222,비빔밥,691.62
D000223,삼선볶음밥,686.11
D000225,새우초밥,387.67
D000226,새우튀김롤,606.5
D000227,샐러드김밥,405.95
D000228,생선초밥(광어),453.78
D000229,생선초밥(모듬),461.97
D000230,소고기국밥,330.53
D000231,소고기김밥,400.61
D000232,송이덮밥,581.81
D000233,숯불갈비 삼각김밥,161.24
D000235,약초비빔밥,511.8
D000236,연어롤,510.19
D000237,연어초밥,447.32
